name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th
S107_250.mat,450000,364304,79,224,168,85,522,380375,807199,591,591,47,155.0,187.0,32.0,59.9706500739043,-63.01225507163,1.0,0.0,107.0,235.0,59.0,283.0,231.0,101.0,5968.0,0.0,62,57,47,45,59,59,0,30
S108_250.mat,450000,436,73,243,38,564,1149,141763,291541,1847,1847,1,223.5,263.0,39.5,46.1194089196427,-50.7852800144658,1.0,0.0,164.25,322.25,105.0,381.5,283.0,196.0,305.6999999999998,180.0,56,59,2,7,184,184,90,93
S109_250.mat,450000,544,85,29,40,1164,228,326050,63887,1577,1577,1,266.0,304.0,38.0,158.96371792952,-187.131466839757,1.0,0.0,209.0,361.0,152.0,418.0,326.0,243.0,348.39999999999964,221.0,55,59,13,10,156,157,77,79
S110_250.mat,450000,267,1,128,29,2924,3507,373946,449756,3509,3509,0,111.0,147.0,36.0,152.973543288019,-184.919564108935,1.0,0.0,57.0,201.0,3.0,255.0,162.0,93.0,182.0,81.4,4,83,1,2,342,346,176,172
S111_250.mat,450000,418,81,232,43,1138,1314,258023,300350,1938,1938,1,212.0,249.0,37.0,174.397122252829,-188.625300853436,0.9999999999999999,0.0,156.5,304.5,101.0,360.0,284.0,176.70000000000002,313.0,152.0,112,122,8,11,194,192,95,94
S112_250.mat,450000,378,75,198,39,0,1648,378,331420,2262,2262,1,173.0,222.0,49.0,53.3227973013956,-46.1831000226259,1.0,0.0,99.5,295.5,26.0,369.0,242.0,148.10000000000002,264.0,134.0,14,37,1,3,227,224,113,111
S113_250.mat,450000,324,69,174,33,2288,937,392732,162140,2585,2585,1,158.0,189.0,31.0,48.316644313783,-42.2122378865095,1.0,0.0,111.5,235.5,65.0,282.0,213.0,140.40000000000003,232.0,118.0,108,119,1,17,259,253,129,128
S114_250.mat,450000,437,77,243,43,337,68,78325,16645,1851,1851,1,220.0,267.0,47.0,92.5283467953279,-113.901773721001,1.0,0.0,149.5,337.5,79.0,408.0,288.0,188.0,311.5,167.5,49,40,2,3,184,179,93,93
S115_250.mat,450000,351,76,195,31,1617,1159,313763,217374,2298,2298,1,178.0,215.0,37.0,51.4142940688412,-43.1985010869179,1.0,0.0,122.5,270.5,67.0,326.0,233.0,164.0,245.0,153.0,39,39,1,6,222,229,113,110
S116_250.mat,450000,13705,74,240,160,1540,211,370601,46371,1870,1870,1,208.0,241.0,33.0,38.9875143671387,-35.2451631772935,1.0,0.0,158.5,290.5,109.0,340.0,258.0,187.0,284.0,165.0,79,77,12,20,186,185,93,93
S117_250.mat,450000,425,65,202,38,0,1060,425,221056,2218,2218,1,182.0,224.0,42.0,14.7473857054773,-15.8006140543491,1.0,0.0,119.0,287.0,56.0,350.0,249.0,166.0,263.0,132.0,80,45,1,3,220,217,109,107
S118_250.mat,450000,375,70,186,39,289,71,59618,15041,2413,2413,1,159.0,208.0,49.0,47.6379133945871,-50.8640359289681,1.0,0.0,85.5,281.5,12.0,355.0,229.0,144.0,254.0,122.60000000000001,15,51,1,3,236,241,121,120
S119_250.mat,450000,351,65,175,40,672,600,106691,93764,2566,2566,1,148.0,200.0,52.0,149.778554595319,-173.466111938214,1.0,0.0,70.0,278.0,-8.0,356.0,221.0,126.0,239.0,105.0,7,38,0,0,253,250,126,128
S121_250.mat,450000,365,66,164,35,1130,616,181122,99825,2729,2729,1,146.0,183.0,37.0,157.935465928441,-184.33927504683,1.0,0.0,90.5,238.5,35.0,294.0,208.0,120.0,227.0,102.0,69,83,1,8,267,271,133,134
