name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,01thP,99thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th,below_01th,above_99th
S057_128.mat,230382,305,34,113,25,2034,80,230381,9107,2035,2035,0,101.0,125.0,24.0,298.823877904224,-272.459208350864,178.59144345964404,-179.88627417153384,65.0,161.0,29.0,197.0,141.0,80.0,156.0,70.0,49.0,184.32000000000016,72,80,0,8,197,196,100,100,20,21
S058_128.mat,230400,224,35,66,8,3483,1352,230399,88976,3484,3484,0,62.0,69.0,7.0,17.0470771862086,-15.3932334063749,11.071056750612522,-10.303868179337709,51.5,79.5,41.0,90.0,76.0,56.0,80.0,52.0,42.0,90.0,166,198,23,33,298,315,166,164,33,33
S059_128.mat,230356,281,35,102,17,2236,1086,230355,118873,2237,2237,0,93.0,113.0,20.0,233.910772691214,-231.7991693876,130.8501765192126,-133.12133618137472,63.0,143.0,33.0,173.0,121.0,83.0,131.0,75.0,57.0,152.91999999999962,44,35,0,5,210,222,109,108,22,23
S060_128.mat,230402,338,43,118,22,1938,790,230400,82709,1939,1939,0,105.0,132.0,27.0,38.2677648085573,-47.4225563863589,23.405851881977956,-40.62654844331398,64.5,172.5,24.0,213.0,143.0,97.0,154.0,86.0,59.379999999999995,182.23999999999978,35,36,0,3,185,181,92,96,20,20
S061_128.mat,230090,336,30,122,32,1879,937,230089,103677,1880,1880,0,100.0,143.0,43.0,244.504194396822,-290.432418523929,164.66292675413945,-236.19260648545634,35.5,207.5,-29.0,272.0,162.0,86.0,176.04999999999995,74.95,53.0,211.21000000000004,1,21,0,2,180,186,94,94,18,19
S062_128.mat,230373,251,30,81,18,2830,1733,230371,146269,2831,2831,0,71.0,91.0,20.0,145.063061288172,-121.936422994889,113.90265411127513,-104.44498414696537,41.0,121.0,11.0,151.0,102.0,58.0,112.0,52.0,40.0,131.0,37,67,0,2,277,270,134,128,28,28
S079_250.mat,450000,257,64,140,24,3179,1073,446090,150850,3207,3207,0,131.0,150.0,19.0,263.292060210668,-325.126658107846,177.88691154115386,-223.98598155235737,102.5,178.5,74.0,207.0,167.0,110.0,181.0,97.0,77.0,213.0,214,190,17,50,310,319,153,160,30,31
S080_250.mat,450000,349,79,207,28,1452,298,297373,58321,2168,2168,0,196.0,219.0,23.0,28.6636902519241,-29.6923562297004,20.073939889108843,-22.347657745766455,161.5,253.5,127.0,288.0,234.0,179.0,251.6500000000001,162.0,116.0,293.65999999999985,104,105,42,29,206,216,104,109,20,22
S081_250.mat,450000,378,90,205,25,431,742,91447,156883,2191,2191,0,191.0,218.0,27.0,32.5381571170275,-26.0582724318451,22.783047847202234,-18.182761089594916,150.5,258.5,110.0,299.0,231.0,178.0,243.0,168.0,133.8,287.0999999999999,47,68,10,13,211,217,104,106,22,22
S082_250.mat,450000,369,65,194,46,2120,521,406508,103827,2314,2314,0,166.0,221.0,55.0,150.783553160306,-239.696214166456,108.97408652161285,-153.47716863500042,83.5,303.5,1.0,386.0,250.0,135.0,276.3499999999999,112.0,86.0,318.8699999999999,17,39,0,0,230,229,111,116,23,24
S083_250.mat,450000,341,65,187,33,446,900,81084,171846,2395,2395,0,168.0,207.0,39.0,17.4486922629015,-17.351318066854,13.158262474524019,-11.564081929186383,109.5,265.5,51.0,324.0,221.0,149.0,240.29999999999973,132.7,94.0,277.1199999999999,52,41,0,1,234,236,120,120,23,24
S084_250.mat,450000,401,72,217,47,1463,1811,308921,389358,2073,2073,0,189.0,237.0,48.0,342.163096066071,-368.501646993993,265.21318057158913,-250.64048965739886,117.0,309.0,45.0,381.0,273.0,159.0,301.0,132.0,98.0,353.0,64,89,0,5,201,207,101,102,19,20
S085_250.mat,450000,1162,85,222,47,1355,313,289579,61709,2025,2025,0,196.0,242.0,46.0,34.6106464329561,-38.5403858485909,25.08934422387358,-32.78140867051306,127.0,311.0,58.0,380.0,259.0,174.0,282.0,162.2,123.48,324.0,23,34,0,3,194,199,102,99,21,19
S086_250.mat,450000,479,68,207,47,0,1009,479,220252,2166,2166,0,179.0,237.0,58.0,181.699267376959,-225.139558638499,194.90841559467884,-196.41925134790452,92.0,324.0,5.0,411.0,273.0,154.0,287.0,135.0,100.0,338.6999999999998,10,41,0,2,215,205,105,106,21,22
S087_250.mat,450000,362,63,190,32,209,1300,41607,246023,2368,2368,0,170.0,208.25,38.25,24.9989434172176,-28.5323700980201,19.673403965337403,-21.1792712054295,112.625,265.625,55.25,323.0,228.0,156.0,241.6500000000001,135.0,99.67,274.3299999999999,51,39,0,3,232,232,118,119,24,24
S088_250.mat,450000,282,58,152,27,1382,1205,211016,184094,2957,2957,0,142.0,162.0,20.0,459.441418214599,-335.495523721958,340.4277734961873,-246.92982964973075,112.0,192.0,82.0,222.0,182.0,119.0,202.19999999999982,99.0,79.0,236.0,236,204,41,57,293,284,144,148,29,29
S089_250.mat,450000,393,76,205,35,0,452,393,96126,2192,2192,0,184.0,226.0,42.0,17.6298852799343,-17.9912033979299,11.795637884152768,-11.265587302895907,121.0,289.0,58.0,352.0,249.0,169.0,265.0,155.0,117.73,294.09000000000015,23,34,0,5,219,215,106,106,22,22
S090_250.mat,450000,460,72,227,52,1030,499,211005,100156,1982,1982,0,197.0,263.0,66.0,194.997945971375,-199.524783581721,141.01393615020015,-164.9523722953766,98.0,362.0,-1.0,461.0,285.0,153.0,308.0,140.0,106.42999999999999,356.0,13,18,0,0,196,197,96,98,20,19
S091_250.mat,450000,423,64,245,47,0,1121,423,273439,1831,1831,0,235.0,263.0,28.0,162.17402648049,-141.714875581934,115.79573627207752,-117.81219835984804,193.0,305.0,151.0,347.0,293.0,180.0,320.5,152.0,110.6,377.70000000000005,217,134,89,48,181,182,91,92,19,19
S092_250.mat,450000,413,73,239,35,1807,718,432582,173896,1878,1878,0,223.0,256.0,33.0,29.7140807786285,-33.7126317085806,21.644058918572323,-28.247289922369717,173.5,305.5,124.0,355.0,280.0,206.0,298.0,182.0,133.54,345.23,70,77,13,12,183,179,92,91,19,19
S093_250.mat,450000,330,73,183,26,0,1459,330,272518,2448,2448,0,174.0,193.0,19.0,33.8564539647333,-42.2506648810502,23.050116155915152,-29.737705137987422,145.5,221.5,117.0,250.0,209.0,158.70000000000002,229.0,142.0,99.47,273.5300000000002,134,156,56,56,245,242,122,119,25,25
S094_250.mat,450000,325,60,162,29,901,2210,147614,362453,2761,2761,0,150.0,173.0,23.0,145.775741107732,-115.026132950046,125.39445979303397,-102.4224279722916,115.5,207.5,81.0,242.0,193.0,129.0,215.0,110.0,87.0,254.0,175,185,13,52,269,272,134,136,26,26
S095_250.mat,450000,344,67,176,31,0,716,344,135915,2556,2556,0,158.0,191.0,33.0,355.435669655719,-259.977161256207,261.3039257321422,-181.40101251830166,108.5,240.5,59.0,290.0,209.0,143.0,233.0,121.0,92.0,263.4499999999998,76,92,0,11,251,252,126,127,24,26
S096_250.mat,450000,387,79,212,41,1888,1159,398342,227720,2114,2114,0,184.0,235.0,51.0,286.376456480258,-206.503243409837,233.05989179719106,-174.09628037976827,107.5,311.5,31.0,388.0,254.0,161.0,283.0,150.65,112.0,344.0,20,53,0,0,207,208,106,103,21,21
S097_250.mat,450000,352,81,215,31,893,1664,188654,361737,2088,2088,0,197.0,233.0,36.0,13.5733161795853,-15.4304884688595,8.58557500025093,-7.888444762706875,143.0,287.0,89.0,341.0,255.0,184.0,269.0,170.0,122.87,297.3900000000003,33,38,2,2,199,203,100,102,21,21
